table;dur;birth;death;chngs;s@s;s@e;sAvg
address;17;0;16;3;11;11;11.0
category;17;0;16;2;6;6;6.0
category_description;17;0;16;1;3;4;3.2941177
country;17;0;16;1;5;5;5.0
coupon;17;0;16;3;11;12;11.941176
coupon_description;17;0;16;0;4;4;4.0
coupon_product;16;1;16;0;3;3;3.0
coupon_redeem;15;0;14;0;5;5;5.0
currency;17;0;16;0;9;9;9.0
customer;17;0;16;0;13;13;13.0
download;17;0;16;0;5;5;5.0
download_description;17;0;16;0;3;3;3.0
extension;17;0;16;0;3;3;3.0
geo_zone;17;0;16;0;5;5;5.0
image;1;0;0;0;3;3;3.0
image_description;1;0;0;0;3;3;3.0
information;17;0;16;0;2;2;2.0
information_description;17;0;16;0;4;4;4.0
language;17;0;16;0;9;9;9.0
manufacturer;17;0;16;2;4;4;4.0
newsletter;1;0;0;0;5;5;5.0
oc2_setting;1;249;249;0;6;6;6.0
oc_address;390;17;-;6;11;12;11.953846
oc_affiliate;377;35;-;5;30;31;30.920424
oc_affiliate_activity;236;176;-;6;5;6;5.9915257
oc_affiliate_login;128;284;-;0;6;6;6.0
oc_affiliate_transaction;377;35;-;3;6;6;6.0
oc_api;192;220;-;17;6;6;6.453125
oc_api_ip;92;320;-;0;3;3;3.0
oc_api_session;91;321;-;1;8;8;8.0
oc_attribute;377;35;-;0;3;3;3.0
oc_attribute_description;377;35;-;0;3;3;3.0
oc_attribute_group;377;35;-;0;2;2;2.0
oc_attribute_group_description;377;35;-;0;3;3;3.0
oc_banner;377;35;-;1;3;3;3.0
oc_banner_image;377;35;-;3;4;7;4.8753314
oc_banner_image_description;343;35;377;0;4;4;4.0
oc_cart;75;337;-;2;9;9;8.093333
oc_category;390;17;-;11;7;9;8.969231
oc_category_description;390;17;-;6;5;7;6.6051283
oc_category_filter;295;117;-;0;2;2;2.0
oc_category_path;321;91;-;2;3;3;3.0
oc_category_to_layout;377;35;-;0;3;3;3.0
oc_category_to_store;389;23;-;0;2;2;2.0
oc_country;390;17;-;5;5;7;6.9615383
oc_coupon;390;17;-;9;12;14;13.964103
oc_coupon_category;327;85;-;0;2;2;2.0
oc_coupon_description;13;17;34;0;4;4;4.0
oc_coupon_history;377;35;-;2;6;6;6.0
oc_coupon_product;390;17;-;0;3;3;3.0
oc_currency;390;17;-;1;9;9;9.0
oc_custom_field;310;102;-;12;6;7;6.3258066
oc_custom_field_customer_group;294;118;-;2;3;3;3.0884354
oc_custom_field_description;310;102;-;0;3;3;3.0
oc_custom_field_location;11;197;207;0;4;4;4.0
oc_custom_field_to_customer_group;69;102;170;0;2;2;2.0
oc_custom_field_value;310;102;-;0;3;3;3.0
